==8750== NVPROF is profiling process 8750, command: ./add_two_matrix
==8750== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==8750== Profiling application: ./add_two_matrix
==8750== Profiling result:
==8750== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X2 (0)"
    Kernel: addMatrix(int*, int*, int*, int)
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000066    0.000066    0.000066
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request    7.999990    7.999990    7.999990
          1              gst_transactions_per_request                 Global Store Transactions Per Request    3.999995    3.999995    3.999995
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions     6125000     6125000     6125000
          1                          gst_transactions                             Global Store Transactions     1531250     1531250     1531250
          1                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                  L2 Read Transactions     3067334     3067334     3067334
          1                     l2_write_transactions                                 L2 Write Transactions     1531280     1531280     1531280
          1                           global_hit_rate                     Global Hit Rate in unified l1/tex      50.00%      50.00%      50.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  21.588GB/s  21.588GB/s  21.588GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  10.794GB/s  10.794GB/s  10.794GB/s
          1                            gld_throughput                                Global Load Throughput  21.588GB/s  21.588GB/s  21.588GB/s
          1                            gst_throughput                               Global Store Throughput  10.794GB/s  10.794GB/s  10.794GB/s
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate      50.00%      50.00%      50.00%
          1                      tex_cache_throughput                              Unified Cache Throughput  21.588GB/s  21.588GB/s  21.588GB/s
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  21.588GB/s  21.588GB/s  21.588GB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  10.794GB/s  10.794GB/s  10.794GB/s
          1                        l2_read_throughput                                 L2 Throughput (Reads)  21.622GB/s  21.622GB/s  21.622GB/s
          1                       l2_write_throughput                                L2 Throughput (Writes)  10.794GB/s  10.794GB/s  10.794GB/s
          1                    sysmem_read_throughput                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                     local_load_throughput                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                         Global Memory Load Efficiency     100.00%     100.00%     100.00%
          1                            gst_efficiency                        Global Memory Store Efficiency     100.00%     100.00%     100.00%
          1                    tex_cache_transactions                            Unified Cache Transactions     3062500     3062500     3062500
          1                             flop_count_dp           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special   Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                 Instructions Executed     9187539     9187539     9187539
          1                               inst_issued                                   Instructions Issued     9188140     9188140     9188140
          1                          stall_inst_fetch              Issue Stall Reasons (Instructions Fetch)       1.18%       1.18%       1.18%
          1                     stall_exec_dependency            Issue Stall Reasons (Execution Dependency)       6.68%       6.68%       6.68%
          1                   stall_memory_dependency                    Issue Stall Reasons (Data Request)      89.16%      89.16%      89.16%
          1                             stall_texture                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                           Issue Stall Reasons (Other)       2.07%       2.07%       2.07%
          1          stall_constant_memory_dependency              Issue Stall Reasons (Immediate constant)       0.02%       0.02%       0.02%
          1                           stall_pipe_busy                       Issue Stall Reasons (Pipe Busy)       0.12%       0.12%       0.12%
          1                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                                inst_fp_32                               FP Instructions(Single)           0           0           0
          1                                inst_fp_64                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                  Integer Instructions   159250448   159250448   159250448
          1                          inst_bit_convert                              Bit-Convert Instructions           0           0           0
          1                              inst_control                             Control-Flow Instructions    12250112    12250112    12250112
          1                        inst_compute_ld_st                               Load/Store Instructions    36750000    36750000    36750000
          1                                 inst_misc                                     Misc Instructions    73500448    73500448    73500448
          1           inst_inter_thread_communication                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                           Issue Slots     8805319     8805319     8805319
          1                                 cf_issued                      Issued Control-Flow Instructions      765629      765629      765629
          1                               cf_executed                    Executed Control-Flow Instructions      765629      765629      765629
          1                               ldst_issued                        Issued Load/Store Instructions     5359382     5359382     5359382
          1                             ldst_executed                      Executed Load/Store Instructions     1914071     1914071     1914071
          1                       atomic_transactions                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                     L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                       L2 Transactions (Texture Reads)     3062500     3062500     3062500
          1                     stall_memory_throttle                 Issue Stall Reasons (Memory Throttle)       0.33%       0.33%       0.33%
          1                        stall_not_selected                    Issue Stall Reasons (Not Selected)       0.44%       0.44%       0.44%
          1                 l2_tex_write_transactions                      L2 Transactions (Texture Writes)     1531250     1531250     1531250
          1                             flop_count_hp             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                 HP Instructions(Half)           0           0           0
          1                             sm_efficiency                               Multiprocessor Activity      99.96%      99.96%      99.96%
          1                        achieved_occupancy                                    Achieved Occupancy    0.912890    0.912890    0.912890
          1                                       ipc                                          Executed IPC    1.032519    1.032519    1.032519
          1                                issued_ipc                                            Issued IPC    0.841451    0.841451    0.841451
          1                    issue_slot_utilization                                Issue Slot Utilization      20.16%      20.16%      20.16%
          1                  eligible_warps_per_cycle                       Eligible Warps Per Active Cycle    1.047828    1.047828    1.047828
          1                           tex_utilization                             Unified Cache Utilization     Low (2)     Low (2)     Low (2)
          1                        shared_utilization                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                       ldst_fu_utilization                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                         cf_fu_utilization                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                        tex_fu_utilization                     Texture Function Unit Utilization     Low (3)     Low (3)     Low (3)
          1           single_precision_fu_utilization            Single-Precision Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1           double_precision_fu_utilization            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                        flop_hp_efficiency                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          1                            l2_utilization                                  L2 Cache Utilization     Low (3)     Low (3)     Low (3)
          1                          dram_utilization                             Device Memory Utilization    High (7)    High (7)    High (7)
          1             half_precision_fu_utilization              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
